Cas1;Standardized 11;Standardized 21;Cas2;Standardized 12;Standardized 22;Cas3;Standardized 13;Standardized 23;Cas4;Standardized 14;Standardized 24;Cas5;Standardized 15;Standardized 25
90,67;0,996774194;1,0008285;;;;90,599;1,000829876;1,001706485;90,719;1,000822368;1;90,584;1,00343879;1,003462604
91,17;0,998387097;1,0008285;;;;91,117;1;1,001706485;91,223;1;1;91,107;1,00343879;1,003462604
91,69;0,999193548;1,0008285;;;;91,637;1;1,001706485;91,739;1;1;91,62;1,00343879;1,003462604
92,21;0,999193548;1,0008285;;;;92,162;1,000829876;1,001706485;92,274;1;1;92,135;1,00343879;1,003462604
92,72;1;1,0008285;;;;92,675;1,000829876;1,001706485;92,786;1;1;92,647;1,00343879;1,003462604
93,23;1,000806452;1,0008285;;;;93,186;1,000829876;1,001706485;93,296;1;1;93,17;1,00343879;1,003462604
93,74;1,000806452;1,0008285;;;;93,695;1,000829876;1,001706485;93,81;0,999177632;1;93,681;1,00343879;1,003462604
94,25;1,000806452;1,0008285;;;;94,21;1;1,001706485;94,338;0,999177632;1;94,2;1,00343879;1,003462604
94,77;1,000806452;1,0008285;;;;94,723;1;1,001706485;94,852;0,999177632;1;94,711;1,004126547;1,003462604
95,27;1,000806452;1,0008285;;;;95,236;1,000829876;1,001706485;95,361;0,999177632;1;95,223;1,004126547;1,003462604
95,78;1,000806452;1,0008285;;;;95,744;1,000829876;1,001706485;95,879;1;1;95,738;1,004126547;1,003462604
96,3;1,000806452;1,0008285;;;;96,252;1,000829876;1,001706485;96,387;1;1,000824402;96,249;1,00343879;1,003462604
96,8;1,000806452;1,0008285;;;;96,762;1,000829876;1,001706485;96,916;1;1;96,761;1,00343879;1,002770083
97,32;1,000806452;1,0008285;;;;97,267;1,000829876;1,001706485;97,423;1;1;97,27;1,00343879;1,002770083
97,83;1,000806452;1,0008285;;;;97,774;1,000829876;1,001706485;97,937;1;1;97,78;1,00343879;1,002770083
98,34;1,000806452;1;;;;98,283;1;1,001706485;98,45;0,999177632;1,000824402;98,297;1,00343879;1,002770083
98,85;1,000806452;1;;;;98,793;1;1,001706485;98,951;1;1,000824402;98,806;1,002751032;1,002770083
99,36;1,000806452;1;;;;99,301;1;1,001706485;99,479;1;1,000824402;99,317;1,002751032;1,002770083
99,87;1;1;;;;99,812;1;1,001706485;99,989;1;1,000824402;99,823;1,002751032;1,002770083
100,38;1,000806452;1;;;;100,325;1;1,001706485;100,502;1;1,000824402;100,335;1,002751032;1,002770083
100,89;1,000806452;1;;;;100,845;1;1,001706485;101,02;1;1,000824402;100,849;1,002751032;1,002770083
101,4;1,000806452;1;;;;101,352;1;1,001706485;101,526;1;1,000824402;101,354;1,002751032;1,002770083
101,91;1,000806452;1;;;;101,86;1;1,001706485;102,041;1;1,000824402;101,871;1,002751032;1,002770083
102,43;1,000806452;1;;;;102,371;1;1,001706485;102,549;1;1,000824402;102,375;1,002751032;1,002770083
102,94;1;1;;;;102,882;1;1,000853242;103,061;1;1,000824402;102,883;1,002751032;1,002770083
103,45;1;1;;;;103,39;1,000829876;1,001706485;103,58;1;1,000824402;103,391;1,002751032;1,002770083
103,96;1;1;;;;103,904;1;1,000853242;104,125;1;1,000824402;103,899;1,002063274;1,002770083
104,48;1;1;;;;104,43;1;1,000853242;104,632;1;1,000824402;104,407;1,002751032;1,002770083
104,98;1;1;;;;104,942;1;1,000853242;105,142;1;1,000824402;104,926;1,002751032;1,002770083
105,5;1;1;;;;105,448;1;1,000853242;105,65;1;1,000824402;105,435;1,002751032;1,002770083
106,01;1;1;;;;105,955;1;1,000853242;106,152;0,999177632;1,000824402;105,946;1,002063274;1,002770083
106,52;1;1;;;;106,464;1;1,000853242;106,668;1;1,000824402;106,455;1,002063274;1,002770083
107,03;1;1;;;;106,998;1;1,000853242;107,172;1;1,000824402;106,967;1,002063274;1,002770083
107,54;1;1;;;;107,507;1;1,000853242;107,681;1;1;107,477;1,002063274;1,002770083
108,05;1;1;;;;108,013;1;1,000853242;108,189;1,000822368;1,000824402;107,999;1,002063274;1,002770083
108,56;1;1;;;;108,523;1;1,000853242;108,697;1,000822368;1,000824402;108,504;1,002063274;1,002770083
109,07;1;1,0008285;;;;109,046;1;1,000853242;109,2;1,000822368;1,000824402;109,011;1,002063274;1,002770083
109,59;1;1,0008285;;;;109,555;1;1,000853242;109,716;1,000822368;1,000824402;109,521;1,002063274;1,002770083
110,1;1;1,0008285;;;;110,063;1,000829876;1,000853242;110,237;1,000822368;1,000824402;110,027;1,002063274;1,002770083
110,61;1;1,0008285;;;;110,576;1,000829876;1,000853242;110,755;1,000822368;1,000824402;110,537;1,002063274;1,002770083
111,12;1;1,0008285;;;;111,093;1,000829876;1,000853242;111,287;1,000822368;1,000824402;111,047;1,002063274;1,002770083
111,63;1;1,0008285;;;;111,602;1,000829876;1,000853242;111,81;1,000822368;1;111,556;1,002063274;1,002770083
112,14;1;1,0008285;;;;112,111;1,000829876;1,000853242;112,327;1,000822368;1;112,066;1,002063274;1,003462604
112,65;1;1,0008285;;;;112,62;1,000829876;1,000853242;112,836;1,000822368;1;112,569;1,002063274;1,003462604
113,16;1;1,0008285;;;;113,128;1,000829876;1;113,351;1,000822368;1;113,093;1,001375516;1,002770083
113,67;1,000806452;1,0008285;;;;113,638;1,000829876;1;113,862;1,000822368;1;113,609;1,002063274;1,002770083
114,18;1,000806452;1,0008285;;;;114,151;1,000829876;1;114,374;1,000822368;1;114,118;1,002063274;1,002770083
114,7;1,000806452;1,0008285;;;;114,66;1,000829876;1;114,891;1,000822368;1;114,629;1,002063274;1,002770083
115,21;1,000806452;1,0008285;;;;115,177;1,000829876;1;115,402;1,000822368;1;115,14;1,002063274;1,003462604
115,72;1,000806452;1,0008285;;;;115,703;1,000829876;1;115,921;1,000822368;1;115,649;1,002063274;1,002770083
116,24;1,000806452;1,0008285;;;;116,21;1,000829876;1;116,434;1,000822368;1;116,163;1,002063274;1,003462604
116,75;1,000806452;1,0008285;;;;116,719;1;1;116,951;1,000822368;1;116,678;1,002063274;1,002770083
117,25;1,000806452;1,0008285;;;;117,226;1;1;117,468;1,000822368;1;117,184;1,002063274;1,002770083
117,76;1,000806452;1,0008285;;;;;;;117,984;1,000822368;1;117,702;1,002063274;1,002770083
118,28;1,000806452;1,0008285;;;;;;;118,494;1,000822368;1;118,212;1,002063274;1,002770083
118,79;1,000806452;1;;;;;;;119,008;1,000822368;0,999175598;118,717;1,002063274;1,002770083
119,29;1,000806452;1;;;;;;;119,525;1;1;119,243;1,002751032;1,002077562
119,8;1,000806452;1;;;;;;;120,034;1,000822368;0,999175598;119,748;1,002751032;1,002077562
120,32;1,000806452;1;;;;;;;120,548;1;0,999175598;120,26;1,002751032;1,002077562
120,82;1,000806452;1;;;;;;;121,07;1;1;120,766;1,002063274;1,002077562
121,33;1,000806452;1;;;;;;;121,583;1;0,999175598;121,282;1,002063274;1,002077562
121,84;1,000806452;1;;;;;;;122,099;1;1;121,797;1,002063274;1,002077562
122,34;1,000806452;1;;;;;;;122,618;1;1;122,308;1,002063274;1,002077562
122,86;1,000806452;1;;;;;;;123,129;1;1;122,813;1,002063274;1,002077562
123,37;1,000806452;1;;;;;;;123,644;1;1;123,315;1,002063274;1,002077562
123,88;1,000806452;1;;;;;;;124,147;1;1;123,827;1,002063274;1,002077562
124,38;1,000806452;1;;;;;;;124,665;1;1;124,338;1,002063274;1,002077562
124,9;1,000806452;1;;;;;;;125,168;1;1;124,848;1,002063274;1,002077562
125,4;1,000806452;1;;;;;;;125,684;1;1;125,374;1,001375516;1,002077562
125,91;1,000806452;1;;;;;;;126,193;1;1;125,891;1,001375516;1,002077562
126,42;1,000806452;1;;;;;;;126,706;1;1;126,404;1,001375516;1,002077562
126,93;1,000806452;1;;;;;;;127,232;1;1;126,922;1,001375516;1,002077562
127,44;1,000806452;1;;;;;;;127,74;1;1;127,435;1,001375516;1,002077562
127,95;1,000806452;1;;;;;;;128,252;1;1;127,953;1,001375516;1,002077562
128,46;1,000806452;1;;;;;;;128,763;1;1;128,457;1,001375516;1,002077562
128,96;1,000806452;1;;;;;;;;;;128,977;1,001375516;1,002077562
129,47;1,000806452;1;;;;;;;;;;129,498;1,001375516;1,002077562
129,97;1,000806452;1;;;;;;;;;;130,01;1,001375516;1,002077562
130,48;1,000806452;1;;;;;;;;;;130,523;1,001375516;1,002770083
131;1,000806452;1;;;;;;;;;;131,027;1,001375516;1,002077562
131,51;1,000806452;1;;;;;;;;;;131,537;1,001375516;1,002077562
132,02;1,000806452;1;;;;;;;;;;132,051;1,000687758;1,002077562
132,55;1,000806452;1;;;;;;;;;;132,566;1,001375516;1,002077562
133,05;1,000806452;1;;;;;;;;;;133,076;1,001375516;1,002077562
133,57;1,000806452;1;;;;;;;;;;133,589;1,001375516;1,002077562
134,07;1,000806452;0,9991715;;;;;;;;;;134,103;1,001375516;1,002077562
134,58;1,000806452;0,9991715;;;;;;;;;;134,604;1,001375516;1,002077562
135,09;1,000806452;0,9991715;;;;;;;;;;135,11;1,001375516;1,001385042
135,6;1;0,9991715;;;;;;;;;;135,625;1,001375516;1,001385042
136,11;1;0,9991715;;;;;;;;;;136,135;1,001375516;1,001385042
136,63;1;0,9991715;;;;;;;;;;136,651;1,000687758;1,001385042
137,15;1;0,9991715;;;;;;;;;;137,159;1,001375516;1,001385042
137,66;1;0,9991715;;;;;;;;;;137,67;1,001375516;1,001385042
138,17;1;0,9991715;;;;;;;;;;138,182;1,001375516;1,001385042
138,68;1;0,9991715;;;;;;;;;;138,69;1,001375516;1,001385042
139,2;1;0,9991715;;;;;;;;;;139,207;1,001375516;1,001385042
139,7;1;0,9991715;;;;;;;;;;139,721;1,001375516;1,001385042
140,21;1;0,9991715;;;;;;;;;;140,233;1,001375516;1,001385042
140,73;1;0,9991715;;;;;;;;;;140,744;1,000687758;1,001385042
141,25;1;0,9991715;;;;;;;;;;141,256;1,000687758;1,001385042
141,77;1;0,9991715;;;;;;;;;;141,769;1,000687758;1,001385042
142,3;1;0,9991715;;;;;;;;;;142,274;1,000687758;1,001385042
142,81;1;0,9991715;;;;;;;;;;142,78;1,000687758;1,001385042
143,32;1;0,9991715;;;;;;;;;;143,299;1;1,001385042
143,83;1;0,9991715;;;;;;;;;;143,81;1;1,001385042
144,33;1;0,9991715;;;;;;;;;;144,32;1;1,002077562
144,84;1;0,9991715;;;;;;;;;;144,833;1,000687758;1,002077562
145,35;1;0,9991715;;;;;;;;;;145,345;1,000687758;1,002077562
145,86;1;0,9991715;;;;;;;;;;145,845;1,000687758;1,002077562
146,37;1;0,9991715;;;;;;;;;;146,359;1,000687758;1,002077562
146,89;1;0,9991715;;;;;;;;;;146,872;1,000687758;1,002077562
147,41;1;1;;;;;;;;;;147,382;1,000687758;1,002077562
147,92;1;1;;;;;;;;;;147,894;1,001375516;1,002077562
148,44;1;1;;;;;;;;;;148,404;1,001375516;1,002077562
148,95;1;1;;;;;;;;;;148,921;1,001375516;1,002077562
149,45;1;1;;;;;;;;;;149,431;1,001375516;1,001385042
149,96;1;1;;;;;;;;;;149,944;1,001375516;1,001385042
150,48;0,999193548;1;;;;;;;;;;150,452;1,001375516;1,001385042
151;1;1;;;;;;;;;;150,966;1,001375516;1,001385042
151,51;0,999193548;1;;;;;;;;;;151,485;1,001375516;1,001385042
152,03;0,999193548;1;;;;;;;;;;151,992;1,001375516;1,001385042
152,54;0,999193548;1;;;;;;;;;;152,499;1,001375516;1,001385042
