Cas1;Standardized 11;Standardized 21;Cas2;Standardized 12;Standardized 22;Cas3;Standardized 13;Standardized 23;Cas4;Standardized 14;Standardized 24;Cas5;Standardized 15;Standardized 25;Cas6;Standardized 16;Standardized 26
95,211;1;0,999278499;;;;;;;95,37;1;0,999217527;95,28;1,000712758;0,999285204;95,25;1;1,000769231
95,726;1;0,999278499;;;;;;;95,89;1;0,999217527;95,79;1,000712758;0,999285204;95,77;1;1,000769231
96,239;1;1;;;;;;;96,4;1;0,999217527;96,32;1,000712758;0,999285204;96,29;1;1,000769231
96,746;1;1;;;;;;;96,93;1;0,999217527;96,83;1,000712758;0,999285204;96,8;1;1,000769231
97,254;1;1;;;;;;;97,45;0,999219969;0,999217527;97,34;1,000712758;0,999285204;97,31;1;1,000769231
97,769;1;1;;;;;;;97,96;0,999219969;0,999217527;97,85;1,000712758;0,999285204;97,82;1;1
98,271;1;1;;;;;;;98,47;0,999219969;0,999217527;98,37;1;0,999285204;98,33;1;1
;;;;;;;;;98,98;0,999219969;0,999217527;98,88;1;0,999285204;98,84;1;1
;;;;;;;;;99,49;0,999219969;0,999217527;99,4;1;0,999285204;99,35;1;1
;;;;;;;;;100,01;0,999219969;0,999217527;99,91;1;0,999285204;99,85;1;1
;;;;;;;;;100,53;0,999219969;0,999217527;100,43;1;0,999285204;100,37;1;1
;;;;;;;;;101,04;0,999219969;0,999217527;100,94;1;0,999285204;100,88;1;1
;;;;;;;;;101,55;0,998439938;0,999217527;101,44;1;0,999285204;101,4;1;1
;;;;;;;;;102,07;0,998439938;0,999217527;101,96;1;0,999285204;102,42;1;1,000769231
;;;;;;;;;102,58;0,998439938;0,999217527;102,47;1;0,999285204;102,93;1;1,000769231
;;;;;;;;;103,09;0,998439938;1;102,98;1;0,999285204;103,45;1;1,000769231
;;;;;;;;;103,6;0,998439938;1;103,49;1;0,999285204;103,96;1;1
;;;;;;;;;104,1;0,998439938;1;104;1;0,999285204;104,48;1;1
;;;;;;;;;104,62;0,998439938;1;104,51;1;0,999285204;104,99;1;1
;;;;;;;;;105,13;0,998439938;1;105,04;1;0,999285204;105,51;1;1
;;;;;;;;;105,65;0,999219969;1;105,54;1;0,999285204;106,02;1;1
;;;;;;;;;106,16;0,999219969;1;106,05;1;1;106,54;1;1
;;;;;;;;;106,69;0,999219969;1;106,57;1;0,999285204;107,05;1;1
;;;;;;;;;107,2;0,999219969;1;107,08;0,999287242;1;107,56;1;1
;;;;;;;;;107,71;0,999219969;1;107,59;0,999287242;1;108,07;1;1
;;;;;;;;;108,22;0,999219969;1;108,1;0,999287242;1;108,59;1;1
;;;;;;;;;108,73;0,999219969;1;108,61;1;1;109,11;1;1
;;;;;;;;;109,23;0,999219969;1;109,12;0,999287242;1;109,61;1;1
;;;;;;;;;109,74;1;1;109,63;0,999287242;1;;;
;;;;;;;;;110,25;1;1;110,14;0,999287242;1;;;
;;;;;;;;;110,76;1;1;110,64;0,999287242;1;;;
;;;;;;;;;111,27;1;1;111,15;1;1;;;
;;;;;;;;;111,77;1;1;111,66;1;1;;;
;;;;;;;;;112,29;1;1;112,17;1;1;;;
;;;;;;;;;112,8;1;1;112,68;1;1;;;
;;;;;;;;;113,31;1;1;113,2;1;1;;;
;;;;;;;;;113,82;1;1;113,72;1;1;;;
;;;;;;;;;114,34;1;0,999217527;114,75;1;1;;;
;;;;;;;;;114,85;1;0,999217527;115,26;0,999287242;1;;;
;;;;;;;;;115,37;1;0,999217527;115,77;0,999287242;1;;;
;;;;;;;;;115,87;1;0,999217527;116,29;0,999287242;1;;;
;;;;;;;;;116,39;1;0,999217527;116,79;0,999287242;1;;;
;;;;;;;;;116,92;1;0,999217527;117,31;1;1;;;
;;;;;;;;;117,43;1;0,999217527;117,83;1;1;;;
;;;;;;;;;117,94;0,999219969;0,999217527;118,34;1;1;;;
;;;;;;;;;118,45;0,999219969;0,999217527;118,85;1;1;;;
;;;;;;;;;118,96;0,999219969;0,999217527;119,35;1;1;;;
;;;;;;;;;119,47;0,999219969;0,999217527;119,87;1;1;;;
;;;;;;;;;119,98;0,999219969;0,999217527;120,38;1;1,000714796;;;
;;;;;;;;;120,5;0,999219969;0,999217527;120,89;1;1;;;
;;;;;;;;;121,02;0,999219969;0,999217527;121,4;1;1,000714796;;;
;;;;;;;;;121,53;0,999219969;0,999217527;121,91;1;1,000714796;;;
;;;;;;;;;122,05;0,999219969;0,999217527;122,42;1;1,000714796;;;
;;;;;;;;;122,56;0,999219969;1;122,94;1;1,000714796;;;
;;;;;;;;;123,07;0,999219969;1;123,45;1;1,000714796;;;
;;;;;;;;;123,59;0,999219969;1;123,96;1;1,000714796;;;
;;;;;;;;;124,09;0,999219969;1;124,47;1;1,000714796;;;
;;;;;;;;;124,61;0,999219969;1;124,97;1;1,000714796;;;
;;;;;;;;;125,12;0,999219969;1;125,48;1,000712758;1,000714796;;;
;;;;;;;;;125,63;0,999219969;1;125,99;1,000712758;1,000714796;;;
;;;;;;;;;126,14;0,999219969;1;126,5;1,000712758;1,000714796;;;
;;;;;;;;;126,66;0,999219969;1;127,02;1,000712758;1,000714796;;;
;;;;;;;;;127,17;0,999219969;1;127,54;1,000712758;1;;;
;;;;;;;;;127,68;0,999219969;1;128,05;1,000712758;1;;;
;;;;;;;;;128,19;0,999219969;1;128,56;1,000712758;1;;;
;;;;;;;;;128,7;0,999219969;1;129,08;1,000712758;1;;;
;;;;;;;;;129,21;0,999219969;1;129,58;1,000712758;1;;;
;;;;;;;;;129,72;0,999219969;1;130,1;1,000712758;1;;;
;;;;;;;;;130,23;0,999219969;1;130,62;1,000712758;1;;;
;;;;;;;;;130,73;0,999219969;1;131,12;1,000712758;1;;;
;;;;;;;;;131,24;0,999219969;1;131,63;1,000712758;1;;;
;;;;;;;;;131,75;0,999219969;1;132,14;1,000712758;1;;;
;;;;;;;;;132,26;0,999219969;1,000782473;132,65;1,000712758;1;;;
;;;;;;;;;132,77;0,999219969;1,000782473;133,16;1,000712758;1;;;
;;;;;;;;;133,28;0,999219969;1,000782473;133,67;1,000712758;1;;;
;;;;;;;;;133,78;0,999219969;1,000782473;134,18;1,000712758;1;;;
;;;;;;;;;134,29;0,999219969;1,000782473;134,69;1,000712758;1;;;
;;;;;;;;;134,81;1;1,000782473;135,2;1,000712758;1;;;
;;;;;;;;;135,32;0,999219969;1,000782473;135,71;1,000712758;1;;;
;;;;;;;;;135,85;1;1,000782473;136,22;1,000712758;1;;;
;;;;;;;;;136,37;1;1;136,73;1;1;;;
;;;;;;;;;136,88;1;1;137,25;1;1;;;
;;;;;;;;;137,39;1;1;137,76;1;1;;;
;;;;;;;;;137,9;1;1;138,28;1;1;;;
